loc,field_am_1y,field_md_1y,field_pm_1y,field_all_1y,field_am_3y,field_md_3y,field_pm_3y,filed_all_3y,cnn_count,cnn_sum,mayor_index,borough
1,1271.0,2933.0,4483.0,3220.6,1370.6,2814.8333333333335,4512.666666666667,2989.294117647059,43.0,58.99493816999999,N,Bronx
2,1749.0,1880.0,4935.5,3076.0,2029.6,2265.6666666666665,5158.166666666667,3217.1176470588234,5.0,11.92185035,Y,Bronx
3,2209.0,6639.0,9282.5,6810.4,2502.2,7508.333333333333,10915.833333333334,7238.588235294118,97.0,166.95269253000012,Y,Bronx
4,1648.0,1508.0,2787.0,2047.6,2061.8,1483.5,2974.6666666666665,2179.8823529411766,8.0,17.379550569999996,N,Bronx
5,1016.0,2513.0,3771.0,2716.8,1034.4,2504.0,3588.8333333333335,2454.6470588235293,39.0,67.67809172999996,N,Bronx
6,757.0,821.0,1959.5,1263.6,841.6,990.1666666666666,1934.0,1279.5882352941176,6.0,14.30731423,Y,Bronx
7,1817.0,5213.0,9067.5,6075.6,1858.8,6269.666666666667,8674.166666666666,5821.0,66.0,95.33911720999998,Y,Bronx
8,1601.0,2978.5,4535.0,3325.6,1565.0,2975.8333333333335,4876.833333333333,3231.823529411765,53.0,87.42478537000001,Y,Bronx
9,1197.0,4458.0,4865.0,3968.6,1490.0,5268.666666666667,6211.666666666667,4490.117647058823,70.0,114.95954262000002,Y,Brooklyn
10,743.0,2241.0,2274.5,1954.8,870.4,2306.3333333333335,2540.6666666666665,1966.7058823529412,21.0,30.33812711999999,Y,Brooklyn
11,3112.0,2286.5,3995.5,3135.2,2937.2,2698.1666666666665,4291.666666666667,3330.8823529411766,70.0,102.40427665000006,Y,Brooklyn
12,1507.0,3582.5,5533.5,3947.8,1515.2,4289.0,5586.0,3930.9411764705883,54.0,78.15159003999996,Y,Brooklyn
13,581.0,1801.5,2176.0,1707.2,576.2,1828.5,2040.8333333333333,1535.1176470588234,19.0,33.20423838,N,Brooklyn
14,2938.0,5965.5,7742.5,6070.8,2893.0,5294.0,7451.166666666667,5349.176470588235,79.0,118.15856642000004,Y,Brooklyn
15,1566.0,4568.5,5926.0,4511.0,1586.8,4804.0,5816.333333333333,4215.058823529412,70.0,108.68687339000002,Y,Brooklyn
16,2102.0,2346.5,4583.0,3192.2,2172.8,2319.3333333333335,4163.166666666667,2927.0,30.0,51.01028158000001,Y,Brooklyn
17,2056.0,1851.0,2740.0,2247.6,2270.0,2115.6666666666665,2883.8333333333335,2432.176470588235,13.0,22.41178403,N,Brooklyn
18,2070.0,3586.5,4034.5,3462.4,2213.8,3788.3333333333335,4716.166666666667,3652.705882352941,48.0,72.78680623000001,Y,Brooklyn
19,971.0,3792.0,1906.0,2473.4,1162.0,2936.5,2303.1666666666665,2191.0588235294117,31.0,40.86129714000002,Y,Brooklyn
20,274.0,1232.5,1433.0,1121.0,301.2,1287.8333333333333,1528.5,1082.5882352941176,10.0,25.14900234,N,Brooklyn
21,1169.0,3407.5,4008.5,3200.2,1084.2,3250.5,4061.0,2899.4117647058824,46.0,72.32789788999997,Y,Brooklyn
22,839.0,2354.5,2161.0,1974.0,827.6,1811.3333333333333,2351.6666666666665,1712.7058823529412,14.0,22.156479859999997,N,Brooklyn
23,1927.0,6036.0,9287.5,6514.8,2009.8,6303.0,10236.833333333334,6428.705882352941,75.0,125.39837266000002,Y,Brooklyn
24,724.0,3274.0,2933.0,2627.6,834.0,2975.6666666666665,3205.1666666666665,2426.764705882353,49.0,70.31172319000001,Y,Brooklyn
25,357.0,1305.5,1229.5,1085.4,632.8,1164.3333333333333,1987.6666666666667,1298.5882352941176,9.0,19.833978480000003,N,Brooklyn
26,2994.0,2293.5,5394.5,3674.0,3330.4,2268.6666666666665,5611.166666666667,3760.6470588235293,69.0,105.22461290000003,Y,Brooklyn
27,1981.0,2808.0,5477.5,3710.4,1843.4,2647.6666666666665,5197.333333333333,3311.0,39.0,60.270349740000015,N,Brooklyn
28,1572.0,2989.0,3785.0,3024.0,1498.4,3015.8333333333335,3831.8333333333335,2857.529411764706,22.0,37.24571164,Y,Brooklyn
29,1392.0,1888.0,2266.5,1940.2,1287.8,1841.0,2243.0,1820.1764705882354,14.0,22.923012169999996,N,Brooklyn
30,278.0,3253.5,2318.0,2284.2,263.4,3186.8333333333335,2438.0,2062.705882352941,38.0,60.92934073000002,N,Brooklyn
31,584.0,2130.0,2696.5,2047.4,686.6,2450.3333333333335,2693.5,2017.4117647058824,30.0,48.013628470000015,Y,Brooklyn
32,1730.0,1193.5,2783.5,1936.8,1821.8,1269.0,2788.6666666666665,1967.9411764705883,37.0,50.55987456000001,Y,Brooklyn
33,123.0,449.5,384.0,358.0,115.6,450.1666666666667,304.3333333333333,300.29411764705884,6.0,10.521729419999998,N,Brooklyn
34,1098.0,3172.0,3796.0,3006.8,945.2,2811.5,3713.1666666666665,2580.823529411765,60.0,83.15943496999998,N,Brooklyn
35,4374.0,1883.0,6537.0,4242.8,4298.6,1829.5,6851.666666666667,4328.235294117647,35.0,63.543364319999995,Y,Manhattan
36,5221.0,8216.5,15225.5,10421.0,5632.6,8110.0,13070.5,9132.117647058823,112.0,190.31709070000016,Y,Manhattan
37,2059.0,5648.0,6983.5,5464.4,2247.8,5392.0,7891.833333333333,5349.529411764706,66.0,128.12583982,Y,Manhattan
38,8323.0,3561.5,9708.0,6972.4,7641.8,3645.1666666666665,9493.166666666666,6884.64705882353,21.0,31.401074620000003,Y,Manhattan
39,1524.0,3115.5,3849.5,3090.8,1683.6,3430.3333333333335,3803.8333333333335,3048.4117647058824,51.0,73.52244802000001,N,Manhattan
40,1851.0,3141.5,4391.0,3383.2,1745.0,3037.8333333333335,4414.5,3143.470588235294,35.0,55.99442419999997,Y,Manhattan
41,2601.0,6666.0,13027.5,8397.6,3430.2,7055.333333333333,15849.0,9092.764705882353,76.0,100.7774289,Y,Manhattan
42,8452.0,7340.5,21511.5,13231.2,9561.6,7189.833333333333,20707.0,12658.176470588236,115.0,196.33191340000008,Y,Manhattan
43,905.0,2645.0,5501.0,3439.4,1238.6,2433.1666666666665,5386.833333333333,3124.294117647059,54.0,76.83562220000002,N,Manhattan
44,9734.0,10523.5,26210.5,16640.4,8177.0,10284.0,25230.666666666668,14939.588235294117,135.0,243.45961719999997,N,Manhattan
45,6266.0,16160.5,20615.0,15963.4,4899.8,13375.0,21436.666666666668,13727.588235294117,97.0,164.73498328999997,Y,Manhattan
46,1509.0,4199.5,5993.0,4378.8,1365.6,3650.3333333333335,5124.666666666667,3498.705882352941,34.0,48.22923101999999,N,Manhattan
47,3191.0,4269.5,7259.5,5249.8,3790.4,4000.3333333333335,7559.166666666667,5194.64705882353,86.0,140.05624135999997,Y,Manhattan
48,2610.0,3515.0,6544.5,4545.8,2706.8,3613.5,7092.333333333333,4574.64705882353,60.0,95.24838413,N,Manhattan
49,4218.0,3991.5,10075.0,6470.2,4583.8,4254.666666666667,11265.0,6825.705882352941,61.0,109.75738524000002,Y,Manhattan
50,770.0,1686.5,3485.0,2222.6,1008.0,1984.8333333333333,3674.1666666666665,2293.764705882353,26.0,39.22676813000001,N,Manhattan
51,12171.0,11385.0,29906.0,18950.6,10788.6,12428.5,29681.5,18035.470588235294,109.0,187.05624124999989,Y,Manhattan
52,1554.0,2400.0,4506.0,3073.2,2142.2,2529.6666666666665,4372.333333333333,3066.0588235294117,34.0,46.63415737999999,N,Manhattan
53,4643.0,5097.5,10144.5,7025.4,5874.4,5842.0,11155.833333333334,7727.0,23.0,50.35306697999999,Y,Manhattan
