loc,measure_month,measure_hour,count
1,2009-05-01,am,1001
2,2009-05-01,am,1351
3,2009-05-01,am,1689
4,2009-05-01,am,1536
5,2009-05-01,am,684
6,2009-05-01,am,605
7,2009-05-01,am,1696
8,2009-05-01,am,990
9,2009-05-01,am,914
10,2009-05-01,am,469
11,2009-05-01,am,2233
12,2009-05-01,am,1049
13,2009-05-01,am,363
14,2009-05-01,am,1544
15,2009-05-01,am,1411
16,2009-05-01,am,2086
17,2009-05-01,am,1762
18,2009-05-01,am,1727
19,2009-05-01,am,629
20,2009-05-01,am,251
21,2009-05-01,am,795
22,2009-05-01,am,544
23,2009-05-01,am,1548
24,2009-05-01,am,1025
25,2009-05-01,am,316
26,2009-05-01,am,2519
27,2009-05-01,am,1156
28,2009-05-01,am,1202
29,2009-05-01,am,622
30,2009-05-01,am,103
31,2009-05-01,am,601
32,2009-05-01,am,1582
33,2009-05-01,am,112
34,2009-05-01,am,1181
35,2009-05-01,am,4745
36,2009-05-01,am,3085
37,2009-05-01,am,1620
38,2009-05-01,am,7466
39,2009-05-01,am,1041
40,2009-05-01,am,869
41,2009-05-01,am,2946
42,2009-05-01,am,8306
43,2009-05-01,am,884
44,2009-05-01,am,8366
45,2009-05-01,am,3385
46,2009-05-01,am,1269
47,2009-05-01,am,5539
48,2009-05-01,am,3544
49,2009-05-01,am,4122
50,2009-05-01,am,677
51,2009-05-01,am,7356
52,2009-05-01,am,2770
53,2009-05-01,am,6149
54,2009-05-01,am,1277
55,2009-05-01,am,1360
56,2009-05-01,am,1032
57,2009-05-01,am,12690
58,2009-05-01,am,5064
59,2009-05-01,am,3463
60,2009-05-01,am,1605
61,2009-05-01,am,3804
62,2009-05-01,am,3614
63,2009-05-01,am,4068
64,2009-05-01,am,2498
65,2009-05-01,am,3770
66,2009-05-01,am,4880
67,2009-05-01,am,4052
68,2009-05-01,am,3151
69,2009-05-01,am,3054
70,2009-05-01,am,27
71,2009-05-01,am,804
72,2009-05-01,am,1236
73,2009-05-01,am,2733
74,2009-05-01,am,729
75,2009-05-01,am,481
76,2009-05-01,am,511
77,2009-05-01,am,799
78,2009-05-01,am,451
79,2009-05-01,am,747
80,2009-05-01,am,1286
81,2009-05-01,am,758
82,2009-05-01,am,1563
83,2009-05-01,am,26
84,2009-05-01,am,735
85,2009-05-01,am,1316
86,2009-05-01,am,393
87,2009-05-01,am,104
88,2009-05-01,am,208
89,2009-05-01,am,1661
90,2009-05-01,am,368
91,2009-05-01,am,1952
92,2009-05-01,am,9175
93,2009-05-01,am,995
94,2009-05-01,am,1093
95,2009-05-01,am,195
96,2009-05-01,am,184
97,2009-05-01,am,413
98,2009-05-01,am,1234
99,2009-05-01,am,152
100,2009-05-01,am,752
101,2009-05-01,am,653
103,2009-05-01,am,97
104,2009-05-01,am,328
105,2009-05-01,am,345
106,2009-05-01,am,354
107,2009-05-01,am,162
108,2009-05-01,am,151
109,2009-05-01,am,72
110,2009-05-01,am,272
111,2009-05-01,am,99
112,2009-05-01,am,83
113,2009-05-01,am,37
114,2009-05-01,am,33
1,2009-05-01,pm,3475
2,2009-05-01,pm,3111
3,2009-05-01,pm,8374
4,2009-05-01,pm,2997
5,2009-05-01,pm,2660
6,2009-05-01,pm,1271
7,2009-05-01,pm,7236
8,2009-05-01,pm,3490
9,2009-05-01,pm,5730
10,2009-05-01,pm,2547
11,2009-05-01,pm,3986
12,2009-05-01,pm,4674
13,2009-05-01,pm,1216
14,2009-05-01,pm,5501
15,2009-05-01,pm,6106
16,2009-05-01,pm,4620
17,2009-05-01,pm,2478
18,2009-05-01,pm,4225
19,2009-05-01,pm,880
20,2009-05-01,pm,1243
21,2009-05-01,pm,5640
22,2009-05-01,pm,1499
23,2009-05-01,pm,11949
24,2009-05-01,pm,4689
25,2009-05-01,pm,980
26,2009-05-01,pm,5538
27,2009-05-01,pm,5009
28,2009-05-01,pm,4089
29,2009-05-01,pm,1689
30,2009-05-01,pm,248
31,2009-05-01,pm,3753
32,2009-05-01,pm,3094
33,2009-05-01,pm,186
34,2009-05-01,pm,995
35,2009-05-01,pm,5954
36,2009-05-01,pm,7169
37,2009-05-01,pm,2654
38,2009-05-01,pm,10866
39,2009-05-01,pm,1761
40,2009-05-01,pm,1680
41,2009-05-01,pm,17128
42,2009-05-01,pm,21051
43,2009-05-01,pm,4929
44,2009-05-01,pm,16730
45,2009-05-01,pm,20508
46,2009-05-01,pm,5187
47,2009-05-01,pm,8901
48,2009-05-01,pm,7324
49,2009-05-01,pm,8661
50,2009-05-01,pm,1726
51,2009-05-01,pm,29526
52,2009-05-01,pm,4090
53,2009-05-01,pm,9608
54,2009-05-01,pm,8561
55,2009-05-01,pm,6047
56,2009-05-01,pm,6680
57,2009-05-01,pm,21943
58,2009-05-01,pm,10654
59,2009-05-01,pm,10636
60,2009-05-01,pm,4840
61,2009-05-01,pm,9823
62,2009-05-01,pm,7280
63,2009-05-01,pm,8087
64,2009-05-01,pm,7990
65,2009-05-01,pm,25268
66,2009-05-01,pm,14500
67,2009-05-01,pm,11765
68,2009-05-01,pm,8475
69,2009-05-01,pm,9975
70,2009-05-01,pm,192
71,2009-05-01,pm,4812
72,2009-05-01,pm,4575
73,2009-05-01,pm,10839
74,2009-05-01,pm,4351
75,2009-05-01,pm,1656
76,2009-05-01,pm,827
77,2009-05-01,pm,3564
78,2009-05-01,pm,360
79,2009-05-01,pm,3443
80,2009-05-01,pm,9724
81,2009-05-01,pm,1892
82,2009-05-01,pm,5406
83,2009-05-01,pm,105
84,2009-05-01,pm,1958
85,2009-05-01,pm,5135
86,2009-05-01,pm,2719
87,2009-05-01,pm,511
88,2009-05-01,pm,1007
89,2009-05-01,pm,4302
90,2009-05-01,pm,2527
91,2009-05-01,pm,2141
92,2009-05-01,pm,13802
93,2009-05-01,pm,5290
94,2009-05-01,pm,2412
95,2009-05-01,pm,564
96,2009-05-01,pm,214
97,2009-05-01,pm,814
98,2009-05-01,pm,1981
99,2009-05-01,pm,196
100,2009-05-01,pm,1402
101,2009-05-01,pm,2670
103,2009-05-01,pm,221
104,2009-05-01,pm,539
105,2009-05-01,pm,506
106,2009-05-01,pm,584
107,2009-05-01,pm,455
108,2009-05-01,pm,183
109,2009-05-01,pm,157
110,2009-05-01,pm,331
111,2009-05-01,pm,153
112,2009-05-01,pm,110
113,2009-05-01,pm,44
114,2009-05-01,pm,213
1,2009-05-01,md,2832
2,2009-05-01,md,1304
3,2009-05-01,md,7472
4,2009-05-01,md,1672
5,2009-05-01,md,2604
6,2009-05-01,md,539
7,2009-05-01,md,3540
8,2009-05-01,md,3335
9,2009-05-01,md,4619
10,2009-05-01,md,2259
11,2009-05-01,md,2944
12,2009-05-01,md,4406
13,2009-05-01,md,865
14,2009-05-01,md,4110
15,2009-05-01,md,5935
16,2009-05-01,md,1971
17,2009-05-01,md,1553
18,2009-05-01,md,2863
19,2009-05-01,md,2408
20,2009-05-01,md,1251
21,2009-05-01,md,1985
22,2009-05-01,md,1378
23,2009-05-01,md,6307
24,2009-05-01,md,3161
25,2009-05-01,md,817
26,2009-05-01,md,1383
27,2009-05-01,md,3390
28,2009-05-01,md,3078
29,2009-05-01,md,1135
30,2009-05-01,md,1178
31,2009-05-01,md,1628
32,2009-05-01,md,1967
33,2009-05-01,md,105
34,2009-05-01,md,1264
35,2009-05-01,md,1112
36,2009-05-01,md,5281
37,2009-05-01,md,5207
38,2009-05-01,md,1696
39,2009-05-01,md,3084
40,2009-05-01,md,1378
41,2009-05-01,md,7151
42,2009-05-01,md,6303
43,2009-05-01,md,2506
44,2009-05-01,md,5749
45,2009-05-01,md,10507
46,2009-05-01,md,4981
47,2009-05-01,md,2464
48,2009-05-01,md,2992
49,2009-05-01,md,5705
50,2009-05-01,md,2088
51,2009-05-01,md,12533
52,2009-05-01,md,2393
53,2009-05-01,md,4402
54,2009-05-01,md,3984
55,2009-05-01,md,2485
56,2009-05-01,md,4881
57,2009-05-01,md,13971
58,2009-05-01,md,1664
59,2009-05-01,md,2119
60,2009-05-01,md,1933
61,2009-05-01,md,2537
62,2009-05-01,md,3131
63,2009-05-01,md,1464
64,2009-05-01,md,2281
65,2009-05-01,md,11494
66,2009-05-01,md,5385
67,2009-05-01,md,5383
68,2009-05-01,md,6386
69,2009-05-01,md,4793
70,2009-05-01,md,64
71,2009-05-01,md,3254
72,2009-05-01,md,2782
73,2009-05-01,md,6515
74,2009-05-01,md,2420
75,2009-05-01,md,785
76,2009-05-01,md,447
77,2009-05-01,md,1854
78,2009-05-01,md,79
79,2009-05-01,md,2598
80,2009-05-01,md,4969
81,2009-05-01,md,1710
82,2009-05-01,md,5867
83,2009-05-01,md,63
84,2009-05-01,md,1850
85,2009-05-01,md,3101
86,2009-05-01,md,2404
87,2009-05-01,md,304
88,2009-05-01,md,856
89,2009-05-01,md,954
90,2009-05-01,md,2591
91,2009-05-01,md,806
92,2009-05-01,md,8087
93,2009-05-01,md,5311
94,2009-05-01,md,871
95,2009-05-01,md,344
96,2009-05-01,md,179
97,2009-05-01,md,704
98,2009-05-01,md,737
99,2009-05-01,md,137
100,2009-05-01,md,631
101,2009-05-01,md,2302
103,2009-05-01,md,163
104,2009-05-01,md,507
105,2009-05-01,md,82
106,2009-05-01,md,683
107,2009-05-01,md,245
108,2009-05-01,md,293
109,2009-05-01,md,58
110,2009-05-01,md,251
111,2009-05-01,md,53
112,2009-05-01,md,78
113,2009-05-01,md,23
114,2009-05-01,md,324
1,2009-09-01,am,991
2,2009-09-01,am,1227
3,2009-09-01,am,2387
4,2009-09-01,am,2097
5,2009-09-01,am,912
6,2009-09-01,am,599
7,2009-09-01,am,1446
8,2009-09-01,am,1461
9,2009-09-01,am,1364
10,2009-09-01,am,774
11,2009-09-01,am,2718
12,2009-09-01,am,1038
13,2009-09-01,am,228
14,2009-09-01,am,2001
15,2009-09-01,am,1537
16,2009-09-01,am,2045
17,2009-09-01,am,1856
18,2009-09-01,am,1223
19,2009-09-01,am,755
20,2009-09-01,am,436
21,2009-09-01,am,1029
22,2009-09-01,am,539
23,2009-09-01,am,1330
24,2009-09-01,am,734
25,2009-09-01,am,365
26,2009-09-01,am,2856
27,2009-09-01,am,1766
28,2009-09-01,am,1249
29,2009-09-01,am,609
30,2009-09-01,am,67
31,2009-09-01,am,664
32,2009-09-01,am,1676
33,2009-09-01,am,100
34,2009-09-01,am,977
35,2009-09-01,am,2421
36,2009-09-01,am,5206
37,2009-09-01,am,2718
38,2009-09-01,am,8091
39,2009-09-01,am,2248
40,2009-09-01,am,1664
41,2009-09-01,am,3135
42,2009-09-01,am,7433
43,2009-09-01,am,1064
44,2009-09-01,am,7495
45,2009-09-01,am,8483
46,2009-09-01,am,2184
47,2009-09-01,am,2544
48,2009-09-01,am,2098
49,2009-09-01,am,3272
50,2009-09-01,am,635
51,2009-09-01,am,13552
52,2009-09-01,am,4886
53,2009-09-01,am,3506
54,2009-09-01,am,2398
55,2009-09-01,am,2047
56,2009-09-01,am,1212
57,2009-09-01,am,11941
58,2009-09-01,am,6160
59,2009-09-01,am,3647
60,2009-09-01,am,1669
61,2009-09-01,am,5516
62,2009-09-01,am,4243
63,2009-09-01,am,5358
64,2009-09-01,am,4161
65,2009-09-01,am,5019
66,2009-09-01,am,8591
67,2009-09-01,am,5238
68,2009-09-01,am,3934
69,2009-09-01,am,3549
70,2009-09-01,am,190
71,2009-09-01,am,727
72,2009-09-01,am,988
73,2009-09-01,am,2545
74,2009-09-01,am,728
75,2009-09-01,am,426
76,2009-09-01,am,484
77,2009-09-01,am,826
78,2009-09-01,am,242
79,2009-09-01,am,698
80,2009-09-01,am,1149
81,2009-09-01,am,678
82,2009-09-01,am,2008
83,2009-09-01,am,32
84,2009-09-01,am,892
85,2009-09-01,am,1128
86,2009-09-01,am,393
87,2009-09-01,am,114
88,2009-09-01,am,256
